Objects
100
,,Global Angle Demo:Demo,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
83,0,-0.015186,-0.085006,-0.197672,61.538879,1063.987061,972.920349
84,0,-0.015158,-0.085068,-0.197867,61.535339,1063.996826,972.928284
85,0,-0.015161,-0.085233,-0.197958,61.530525,1063.984619,972.953491
86,0,-0.015351,-0.085193,-0.198132,61.527370,1063.963623,973.004822
87,0,-0.015441,-0.085406,-0.198223,61.533508,1063.969604,973.025879
88,0,-0.015309,-0.085645,-0.197914,61.528522,1063.968140,973.036438
89,0,-0.014641,-0.085671,-0.197752,61.535511,1063.973511,973.047668
90,0,-0.014405,-0.085505,-0.197362,61.533951,1063.994629,973.059143
91,0,-0.013714,-0.085281,-0.197173,61.545532,1064.028564,973.048767
92,0,-0.013368,-0.085131,-0.196685,61.541351,1064.050049,973.026672
93,0,-0.013650,-0.084867,-0.196465,61.543930,1064.061035,973.010498
94,0,-0.013174,-0.085492,-0.195792,61.545532,1064.079346,973.041870
95,0,-0.012955,-0.085361,-0.195501,61.539101,1064.100586,973.086304
96,0,-0.012515,-0.085275,-0.195706,61.527893,1064.105347,973.088074
97,0,-0.012337,-0.085526,-0.195603,61.521473,1064.095093,973.073669
98,0,-0.012360,-0.084984,-0.196094,61.529114,1064.076294,973.080383
99,0,-0.012061,-0.085175,-0.195848,61.529243,1064.086670,973.081543
100,0,-0.011949,-0.084854,-0.195511,61.532917,1064.099365,973.088623
101,0,-0.011881,-0.085024,-0.195151,61.525974,1064.120728,973.098572
102,0,-0.011737,-0.085424,-0.194826,61.531116,1064.134521,973.091187
103,0,-0.011304,-0.085098,-0.194818,61.539093,1064.150146,973.107239
104,0,-0.011252,-0.085400,-0.194504,61.536522,1064.160522,973.099487
105,0,-0.011455,-0.084903,-0.194340,61.541168,1064.159180,973.088684
106,0,-0.011326,-0.084776,-0.194158,61.544678,1064.149536,973.087463
107,0,-0.011032,-0.084578,-0.194303,61.548710,1064.150269,973.093201
108,0,-0.010659,-0.084514,-0.194134,61.542683,1064.184082,973.103088
109,0,-0.010430,-0.084848,-0.194006,61.528934,1064.207031,973.092163
110,0,-0.011223,-0.084908,-0.193978,61.531845,1064.206177,973.088623
111,0,-0.011537,-0.085353,-0.193746,61.528160,1064.214722,973.107788
112,0,-0.012226,-0.086198,-0.193945,61.523186,1064.209351,973.135376
113,0,-0.013391,-0.086726,-0.194281,61.524479,1064.215332,973.164246
114,0,-0.014288,-0.087536,-0.194291,61.525665,1064.236694,973.202393
115,0,-0.015547,-0.088954,-0.194274,61.516666,1064.286621,973.245667
116,0,-0.017333,-0.090522,-0.193975,61.503460,1064.350098,973.297913
117,0,-0.019241,-0.091691,-0.193609,61.512241,1064.408447,973.326355
118,0,-0.020555,-0.092905,-0.193378,61.506805,1064.431641,973.348999
119,0,-0.021274,-0.093260,-0.193211,61.499107,1064.459351,973.386475
120,0,-0.021727,-0.093120,-0.193206,61.471298,1064.473022,973.437134
121,0,-0.022463,-0.093883,-0.193110,61.399288,1064.478149,973.445679
122,0,-0.024319,-0.095334,-0.193690,61.303017,1064.468750,973.410217
123,0,-0.027869,-0.096813,-0.195259,61.194542,1064.339355,973.319031
124,0,-0.031450,-0.098123,-0.198503,61.058449,1064.065674,973.231689
125,0,-0.032696,-0.099085,-0.202661,61.274113,1063.736328,973.163147
126,0,-0.028895,-0.100203,-0.206857,61.378551,1063.216064,972.953369
127,0,-0.023097,-0.096113,-0.209730,61.574280,1062.603516,972.206726
128,0,-0.014375,-0.087766,-0.212196,61.986664,1062.039673,970.728149
129,0,-0.013239,-0.079540,-0.211708,62.325512,1061.472046,968.178040
130,0,-0.011766,-0.068521,-0.213330,62.783009,1060.920532,964.756958
131,0,-0.005875,-0.061178,-0.215829,63.250793,1060.348633,960.328735
132,0,-0.003370,-0.049463,-0.216389,63.610157,1059.796021,954.987854
133,0,-0.001100,-0.040348,-0.218208,64.017693,1059.210938,948.634094
134,0,0.004134,-0.029745,-0.220440,64.458443,1058.568481,941.416687
135,0,0.009198,-0.028787,-0.219982,64.672310,1057.737793,933.220093
136,0,0.021169,-0.026485,-0.224791,65.040184,1056.963623,924.170166
137,0,0.015270,-0.013190,-0.221852,65.236366,1056.288574,913.722778
138,0,0.012377,-0.008090,-0.223191,65.802208,1055.566650,902.932129
139,0,0.027663,0.008885,-0.225986,65.810097,1055.334351,890.560547
140,0,0.029718,0.018521,-0.229146,66.113167,1054.739136,877.563721
141,0,0.036597,0.025186,-0.237189,66.490257,1053.830933,863.733765
142,0,0.029874,0.033372,-0.230013,66.934189,1053.204834,849.006714
143,0,0.049767,0.036481,-0.239263,67.247955,1052.603760,833.289001
144,0,0.062532,0.028190,-0.242373,67.246956,1052.074951,816.478760
145,0,0.035095,0.081995,-0.233035,67.958954,1051.578125,799.258850
146,0,0.038703,0.091802,-0.234447,68.387573,1050.926880,780.696960
147,0,0.046607,0.079828,-0.240679,68.617249,1050.014282,760.969421
148,0,0.047539,0.097105,-0.238829,69.139320,1049.364380,740.822021
149,0,0.049750,0.110660,-0.247873,69.165657,1048.836060,719.539001
150,0,0.061384,0.100403,-0.237335,69.710258,1047.781494,697.161011
151,0,0.069826,0.106611,-0.245567,70.078728,1047.211914,674.172424
152,0,0.068355,0.112930,-0.244241,70.183975,1046.491455,650.112793
153,0,0.056556,0.126484,-0.248841,70.360733,1045.575073,625.079407
154,0,0.068122,0.127083,-0.246989,70.679596,1044.660400,599.563477
155,0,0.054433,0.153530,-0.250626,70.735741,1043.977661,572.620361
156,0,0.080417,0.145988,-0.256651,71.055069,1043.254639,545.284546
157,0,0.082084,0.153985,-0.258539,71.263527,1042.348877,517.038513
158,0,0.084097,0.158522,-0.253819,71.612335,1041.623535,487.900787
159,0,0.081831,0.165533,-0.255042,71.787819,1040.603394,457.931366
160,0,0.083318,0.171965,-0.256457,71.937088,1039.582886,427.176392
161,0,0.082893,0.176977,-0.256351,72.220673,1038.496338,395.619904
162,0,0.082922,0.179799,-0.257796,72.354256,1037.381714,363.271698
163,0,0.086029,0.180365,-0.258942,72.588364,1036.184326,330.095062
164,0,0.086945,0.189506,-0.250847,72.715569,1034.842041,296.111816
165,0,0.083823,0.185953,-0.261813,72.927261,1033.724365,261.132263
166,0,0.074958,0.191135,-0.261690,73.131340,1032.468506,225.539627
167,0,0.072733,0.198743,-0.256680,73.093735,1030.959717,189.283646
168,0,0.068154,0.190344,-0.262244,73.474693,1029.786011,152.016434
169,0,0.058805,0.193461,-0.263232,73.703094,1028.542480,114.048424
170,0,0.056370,0.189533,-0.264308,73.977364,1027.238647,75.384300
171,0,0.015035,-0.053587,-0.269329,69.599663,1027.248657,44.343731
172,0,0.002862,0.172575,-0.309288,73.348328,1029.065674,51.731979
173,0,0.091152,0.358983,-0.355437,76.043610,1029.225342,60.169697
174,0,0.173193,0.556288,-0.421035,77.815193,1029.327271,66.778931
175,0,0.272258,0.722413,-0.458430,79.463844,1029.632202,72.119835
176,0,0.369267,0.890141,-0.503353,80.091988,1029.826050,75.851570
177,0,0.477740,1.045947,-0.574645,81.034653,1030.138672,78.881981
178,0,0.597564,1.220258,-0.600648,79.581444,1031.335449,79.743347
179,0,0.683304,1.396295,-0.662272,78.701088,1032.330322,80.329163
180,0,0.819281,1.535986,-0.746411,76.536293,1034.047363,79.707977
181,0,0.952928,1.669345,-0.812624,73.480927,1035.749146,79.152870
182,0,1.059943,1.838271,-0.866861,69.994164,1036.845215,78.914322
183,0,1.196353,1.894538,-1.055429,66.252441,1037.461060,77.346420
184,0,1.313369,2.081935,-1.118895,62.941193,1042.264404,74.305313
185,0,1.427184,2.182662,-1.236233,58.649441,1045.992554,72.468567
186,0,1.552946,2.294756,-1.345745,54.987934,1050.358887,69.623314
187,0,1.652107,2.381293,-1.535909,51.625748,1054.357910,66.332550
188,0,1.726301,2.520314,-1.668606,47.630150,1057.204834,62.949745
189,0,1.844463,2.616897,-1.809630,44.781944,1061.295166,59.811829
190,0,1.943965,2.667462,-2.026508,42.450367,1065.021851,56.270374
191,0,1.988564,2.597291,-2.299185,42.128284,1069.288086,54.504940
192,0,2.004942,2.244038,-2.644715,43.034187,1072.693848,56.916294
193,0,2.142920,2.071870,-2.747507,45.384327,1081.913696,58.814472
194,0,2.249270,1.913458,-2.820729,46.309155,1086.038086,63.515907
195,0,2.257729,1.780209,-2.925496,48.572895,1090.960327,66.746307
196,0,2.323107,1.618688,-2.978339,49.432922,1096.051392,69.438835
197,0,2.461969,1.445151,-2.982921,50.482964,1099.867188,71.473938
198,0,2.539546,1.238597,-3.083398,52.371971,1104.785889,72.929596
199,0,2.535220,1.063887,-3.218485,53.637569,1109.155151,71.969643
200,0,2.700007,0.885751,-3.127902,55.852379,1113.609009,70.597504
201,0,2.737815,0.609146,-3.173828,57.962631,1118.155151,69.296310
202,0,2.916552,0.484779,-3.012013,59.287594,1120.982300,67.235115
203,0,2.902214,0.253940,-3.124926,61.998806,1124.430054,67.083771
204,0,2.812817,-0.053678,-3.334883,63.973652,1127.238037,65.917366
205,0,2.731951,-0.293077,-3.495324,66.744827,1131.524658,66.757980
206,0,2.721458,-0.499912,-3.504855,70.087662,1134.494507,66.929817
207,0,2.736754,-0.701784,-3.473630,73.378197,1137.890747,66.385544
208,0,2.761677,-1.000623,-3.360038,76.711174,1140.198730,64.824013
209,0,2.653934,-1.264557,-3.408279,80.414635,1142.486450,64.465981
210,0,2.704570,-1.419670,-3.276000,84.279701,1145.133057,64.234566
211,0,2.545670,-1.711504,-3.333662,88.259026,1147.091553,63.337334
212,0,2.496970,-1.940528,-3.250620,92.258278,1149.263428,62.595421
213,0,2.421157,-2.168635,-3.171915,96.410133,1151.347412,61.707443
214,0,2.307833,-2.413331,-3.091591,100.388512,1153.519775,61.126476
215,0,2.295557,-2.584656,-2.939498,104.896240,1155.262695,59.458893
216,0,2.221385,-2.777083,-2.804016,109.137512,1157.211060,58.017929
217,0,2.127808,-2.959655,-2.666875,113.360344,1159.054932,56.607506
218,0,2.024062,-3.114024,-2.547476,117.463898,1160.852539,55.513424
219,0,1.958044,-3.227693,-2.479891,120.833549,1162.964966,56.985271
220,0,1.948333,-3.313450,-2.386788,124.465683,1164.555298,56.804321
221,0,1.882665,-3.440772,-2.318248,128.146210,1166.137817,55.534256
222,0,1.880478,-3.519401,-2.230299,131.366013,1167.885498,55.397858
223,0,1.844842,-3.626605,-2.148162,134.445633,1170.005005,56.138752
224,0,1.725838,-3.749348,-2.116827,137.229095,1171.166992,55.493336
225,0,1.698126,-3.798316,-2.059837,139.635452,1172.123657,55.674248
226,0,1.607923,-3.889318,-1.997359,142.001541,1173.312988,55.420303
227,0,1.603653,-3.925048,-1.927138,143.465027,1174.340088,54.728470
228,0,1.505767,-4.018694,-1.880617,145.326538,1175.754883,55.214424
229,0,1.372122,-4.113443,-1.823151,146.839462,1176.644409,55.050922
230,0,1.335625,-4.147687,-1.758042,148.032272,1177.432861,54.897457
231,0,1.301148,-4.181108,-1.717922,148.908920,1178.177246,54.869282
232,0,1.312779,-4.186420,-1.672221,149.626175,1178.678589,54.561234
233,0,1.291781,-4.205047,-1.634800,150.324829,1179.199707,54.547932
234,0,1.331713,-4.206849,-1.585251,150.763046,1179.454102,54.253128
235,0,1.265882,-4.223610,-1.581080,151.440994,1179.882568,54.268917
236,0,1.257253,-4.217270,-1.593571,151.601501,1180.269165,54.511047
237,0,1.294680,-4.215036,-1.559141,151.784576,1180.413696,54.422276
238,0,1.255650,-4.218575,-1.574732,152.012848,1180.584229,54.482887
239,0,1.256232,-4.218254,-1.570786,152.095825,1180.630493,54.485031
240,0,1.256079,-4.218633,-1.570658,152.095398,1180.611694,54.475735
241,0,1.255223,-4.218745,-1.574670,152.016953,1180.543945,54.471863
242,0,1.294968,-4.214355,-1.560676,151.772552,1180.410767,54.446358
243,0,1.261190,-4.215358,-1.594145,151.569626,1180.280273,54.533905
244,0,1.284517,-4.206801,-1.601464,151.208847,1179.866699,54.359993
245,0,1.341471,-4.210672,-1.560921,150.709549,1179.255615,54.334255
246,0,1.285132,-4.213022,-1.629668,150.293030,1179.190430,54.545185
247,0,1.281958,-4.219474,-1.651711,149.681320,1178.698242,54.588982
248,0,1.285125,-4.222853,-1.679253,148.983261,1178.117920,54.601624
249,0,1.287813,-4.224226,-1.706915,148.177277,1177.452148,54.698311
250,0,1.326366,-4.204509,-1.739608,146.942856,1176.687012,54.353889
251,0,1.316683,-4.212692,-1.779305,145.943817,1175.922241,54.434349
252,0,1.319038,-4.209352,-1.824046,144.880173,1175.067017,54.990353
253,0,1.320229,-4.210840,-1.848300,143.956116,1174.200928,55.271282
254,0,1.312249,-4.203636,-1.875917,143.640625,1173.542480,55.907692
255,0,1.296304,-4.211008,-1.895935,143.135452,1172.891113,56.160885
256,0,1.347937,-4.199591,-1.905562,142.920135,1172.214844,56.659302
257,0,1.229321,-4.230057,-1.945596,142.394592,1171.463745,56.087898
258,0,1.213410,-4.228642,-1.960998,142.324524,1170.980225,56.199089
259,0,1.177639,-4.248158,-1.962843,142.746368,1170.865479,56.970860
260,0,1.091663,-4.278497,-1.978711,142.854553,1170.293091,56.639538
261,0,1.065314,-4.281883,-1.981998,143.153824,1170.009033,56.496651
262,0,1.133627,-4.235779,-1.968593,143.810486,1170.121460,56.702866
263,0,1.137198,-4.231407,-1.967523,144.205917,1170.057251,56.700123
264,0,1.146543,-4.229791,-1.962671,144.450043,1170.072510,56.597988
265,0,1.154485,-4.229101,-1.956196,144.532074,1170.207886,56.509762
266,0,1.162483,-4.230263,-1.945589,144.573593,1170.428589,56.427753
267,0,1.175347,-4.229774,-1.933872,144.636002,1170.723633,56.357815
268,0,1.185812,-4.234735,-1.915340,144.696198,1171.090088,56.200214
269,0,1.286607,-4.208272,-1.877640,144.673950,1171.443115,55.957012
270,0,1.214086,-4.243314,-1.871757,144.808777,1172.131592,55.775188
271,0,1.242555,-4.239116,-1.848582,144.530563,1172.666626,55.430969
272,0,1.259956,-4.244792,-1.813290,144.723145,1173.496704,55.067142
273,0,1.282059,-4.244257,-1.783447,144.921799,1174.311035,54.826775
274,0,1.309340,-4.223292,-1.771998,144.943878,1175.018799,54.481087
275,0,1.310184,-4.225275,-1.758095,145.203659,1175.483765,54.478436
276,0,1.309209,-4.227102,-1.751976,145.309143,1175.709839,54.451763
277,0,1.310680,-4.226202,-1.751260,145.308472,1175.701294,54.422760
278,0,1.307431,-4.228861,-1.757452,145.176880,1175.577881,54.457508
279,0,1.305014,-4.229064,-1.773332,144.892029,1175.325928,54.491653
280,0,1.300051,-4.232488,-1.784274,144.597702,1175.048096,54.581196
281,0,1.296954,-4.232009,-1.785125,144.463425,1174.828979,54.552391
282,0,1.295383,-4.231357,-1.787293,144.441193,1174.742554,54.546154
283,0,1.295883,-4.230829,-1.788188,144.451950,1174.759644,54.549892
284,0,1.294857,-4.232990,-1.784084,144.483810,1174.870117,54.540489
285,0,1.302200,-4.231036,-1.776728,144.530151,1175.050415,54.456791
286,0,1.303657,-4.229748,-1.773499,144.593796,1175.234253,54.428841
287,0,1.303639,-4.230188,-1.775242,144.581650,1175.232788,54.451546
288,0,1.301766,-4.231176,-1.777842,144.515579,1175.162476,54.455891
289,0,1.303664,-4.230076,-1.776019,144.508286,1175.190063,54.429256
290,0,1.304301,-4.230114,-1.775566,144.522827,1175.191895,54.443623
291,0,1.303589,-4.230494,-1.774975,144.530518,1175.179688,54.447201
292,0,1.303835,-4.230638,-1.775398,144.528412,1175.194702,54.449600
293,0,1.303910,-4.230010,-1.775288,144.515137,1175.202393,54.422226
294,0,1.304684,-4.229723,-1.775213,144.525757,1175.196045,54.432693
295,0,1.304763,-4.229587,-1.775842,144.527695,1175.188354,54.438427
296,0,1.304305,-4.230088,-1.774835,144.527679,1175.185181,54.425480
297,0,1.302831,-4.230848,-1.775234,144.529022,1175.205933,54.453205
298,0,1.304247,-4.229928,-1.775628,144.523956,1175.187378,54.438362
299,0,1.304114,-4.229875,-1.775777,144.519882,1175.190063,54.438305
300,0,1.303672,-4.229985,-1.775950,144.514969,1175.195435,54.423954
301,0,1.304509,-4.229722,-1.775839,144.522659,1175.180298,54.411205
302,0,1.303628,-4.230674,-1.775640,144.530197,1175.185303,54.433979
303,0,1.303372,-4.230529,-1.775504,144.530380,1175.194214,54.436264
304,0,1.303226,-4.230360,-1.775655,144.522430,1175.196289,54.446857
305,0,1.302735,-4.230813,-1.775913,144.527405,1175.200806,54.451851
306,0,1.305766,-4.228797,-1.775362,144.520767,1175.188110,54.414322
307,0,1.303891,-4.229842,-1.775846,144.526001,1175.196045,54.427250
308,0,1.303722,-4.230275,-1.775247,144.526962,1175.192749,54.457378
309,0,1.304089,-4.230237,-1.775518,144.526810,1175.178955,54.441006
310,0,1.303564,-4.230324,-1.775379,144.520386,1175.187134,54.428196
311,0,1.302936,-4.230963,-1.775472,144.526367,1175.199951,54.451839
312,0,1.303524,-4.230239,-1.775006,144.517197,1175.187134,54.425140
313,0,1.302793,-4.230828,-1.775349,144.523270,1175.199829,54.436687
314,0,1.302312,-4.231322,-1.775097,144.524033,1175.190918,54.449715
315,0,1.303646,-4.230135,-1.775958,144.530701,1175.184814,54.437153
316,0,1.303563,-4.230219,-1.775491,144.527756,1175.184692,54.437122
317,0,1.303442,-4.230347,-1.775714,144.527496,1175.194214,54.441689
318,0,1.303023,-4.230973,-1.775336,144.516190,1175.202026,54.439777
319,0,1.303984,-4.230192,-1.775954,144.508804,1175.186279,54.424797
320,0,1.305692,-4.229046,-1.775660,144.514374,1175.186523,54.418896
321,0,1.302998,-4.230993,-1.775286,144.527100,1175.192017,54.435520
322,0,1.303770,-4.230422,-1.775743,144.528046,1175.178589,54.453205
323,0,1.303253,-4.230444,-1.775737,144.520340,1175.189331,54.447651
324,0,1.303794,-4.230384,-1.775118,144.514130,1175.203003,54.433750
325,0,1.303213,-4.230548,-1.775918,144.523071,1175.207520,54.424049
326,0,1.303475,-4.230671,-1.776135,144.528717,1175.188721,54.429939
327,0,1.304157,-4.230448,-1.775432,144.527252,1175.184082,54.437904
328,0,1.303674,-4.230497,-1.775262,144.529327,1175.176880,54.457817
329,0,1.302640,-4.230649,-1.775487,144.522156,1175.188843,54.432945
330,0,1.302572,-4.231071,-1.775353,144.519730,1175.214111,54.421200
331,0,1.302769,-4.230798,-1.775338,144.531052,1175.206909,54.437614
332,0,1.303490,-4.230251,-1.775824,144.528381,1175.181519,54.432404
333,0,1.304288,-4.230079,-1.775479,144.518906,1175.178101,54.429199
334,0,1.304549,-4.229978,-1.775247,144.529556,1175.194580,54.441006
335,0,1.303033,-4.230837,-1.775719,144.538483,1175.202026,54.455502
336,0,1.302358,-4.230905,-1.775327,144.523483,1175.199463,54.432041
337,0,1.303837,-4.230525,-1.775378,144.518555,1175.197754,54.433788
338,0,1.302309,-4.231333,-1.775437,144.531570,1175.201782,54.446117
339,0,1.302814,-4.231117,-1.775094,144.526901,1175.181396,54.422073
340,0,1.304668,-4.230071,-1.774910,144.536041,1175.177612,54.433430
341,0,1.302256,-4.231142,-1.775618,144.518555,1175.194702,54.443508
342,0,1.303823,-4.230469,-1.775207,144.521027,1175.199463,54.425095
343,0,1.302640,-4.230621,-1.776026,144.517380,1175.207520,54.419811
344,0,1.302151,-4.231067,-1.776208,144.529755,1175.212280,54.444710
345,0,1.302760,-4.231173,-1.775399,144.532394,1175.194702,54.452900
346,0,1.303464,-4.230812,-1.774517,144.534988,1175.180542,54.449783
347,0,1.303953,-4.230490,-1.775213,144.516602,1175.187012,54.414101
348,0,1.304796,-4.229918,-1.775805,144.523941,1175.206543,54.419811
349,0,1.303872,-4.230191,-1.776275,144.520294,1175.218262,54.431831
350,0,1.302540,-4.230862,-1.775910,144.519852,1175.203003,54.440361
351,0,1.302222,-4.231553,-1.775013,144.531204,1175.187866,54.463737

